Gene	ArcA	CRP	CysB	FadR	FruR	GatR	IclR	LeuO	Lrp	NarL	PhoB	PurR	RpoE	RpoS	TrpR	TyrR
aceB	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0
aceA	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0
aceK	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0
acs	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0
gatD	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0
gatA	0	1	0	0	0	-1	0	0	0	0	0	0	0	0	0	0
gatC	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0
sucD	-1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sucC	-1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sdhB	-1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0
sdhA	-1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sucB	-1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
livJ	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0
aroM	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	-1
mdh	-1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
livK	0	0	0	0	1	0	0	0	-1	0	0	0	0	0	0	0
ilvH	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
cysM	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
cyoA	-1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
guaB	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0
pstS	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
nuoH	-1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ilvB	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
narH	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0
lrp	0	0	0	0	0	0	0	0	-1	0	0	0	0	1	0	0
gatY	0	0	0	0	0	-1	0	1	0	0	0	0	0	0	0	0
nuoJ	-1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
gltA	-1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
tnaL	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
dapA	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0
ugpE	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0
nuoE	-1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
nrfE	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
cyoB	-1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
rfaF	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
nuoA	-1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
surA	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
nuoF	-1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
narY	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
proP	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0
adhE	0	0	0	0	0	0	0	0	0	-1	0	0	0	1	0	0
narI	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
pykF	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0
rpoD	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
pstC	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
rpoE	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
arcA	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cysA	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
aroG	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1
ugpB	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0
serA	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0
glgP	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
kbl	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
purM	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0
phoR	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0
rseC	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
mdoH	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0
cysK	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
tyrR	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1
cysH	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
aroP	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1
glgS	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
purA	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
purK	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0
leuC	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
leuA	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
leuB	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
trpA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0
trpC	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0
aroF	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1
tyrA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1
uspA	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0
fabA	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
iclR	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
epd	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aidB	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0
csgD	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1
csgE	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
csgF	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
csiE	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0
ftsZ	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
galE	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0
galK	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0
galT	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0
glgA	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
glpD	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
gor	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0
hdeA	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
hdeB	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
ldcC	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
mutH	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
osmE	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
poxB	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
pspA	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
rob	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
topA	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
wrbA	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
xthA	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
yciG	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
ppsA	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
