GeneName	ArcA	ArgR	CRP	CspA	CsrA	CysB	DcuR	ExuR	FadR	FecI	FIS	FNR	FruR	Fur	GatR	Hns	IclR	IHF	IscR	IlvY	LeuO	Lrp	LysR	MalT	MetJ	MetR	NadR	OxyR	PurR	RpoN	RpoS	XylR	YjbK	Str.Res.(SerineHydroxamate)
carA	0	-1.43302	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.736253	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.929741
carB	0	-1.86997	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.317604	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
caiF	0	0	-0.342227	0	0	0	0	0	0	0	0	-0.0622328	0	0	0	0.620828	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
leuD	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.873967	0	0	0	0	0	0	0	0	0	0	0	0	0
leuC	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.968602	0	0	0	0	0	0	0	0	0	0	0	0	0
leuB	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.974146	0	0	0	0	0	0	0	0	0	0	0	0	0
leuA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.18328	0	0	0	0	0	0	0	0	0	0	0	0	0
ilvI	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.60091	0	0	0	0	0	0	0	0	0	0	0	0
ilvH	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.47319	0	0	0	0	0	0	0	0	0	0	0	0
acnB	-0.212208	0	1.00492	0	0	0	0	0	0	0	1.13221	0	0.675311	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
htrE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0732003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ecpD	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.233095	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
fhuA	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.27998	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
fhuC	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.376806	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
fhuD	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.464299	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
fhuB	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0929367	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
argF	0	-1.5194	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
codB	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.919437	0	0	0	0	0
codA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.20114	0	0	0	0	0
cyoE	-0.404379	0	0	0	0	0	0	0	0	0	0	-0.295262	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cyoD	-1.28962	0	0	0	0	0	0	0	0	0	0	-1.63643	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
